sportsbook,sport,league_info,game_date,game_time,game_participants,market,bet_selection_name,price,time_retrieved,suspended,line
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 32.5,−587,2024-10-21T02:32:08.67379Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 32.5,+419,2024-10-21T02:32:08.80878Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 33,−563,2024-10-21T02:32:08.99578Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 33,+405,2024-10-21T02:32:09.15479Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 33.5,−472,2024-10-21T02:32:09.28186Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 33.5,+350,2024-10-21T02:32:09.41978Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 34,−459,2024-10-21T02:32:10.37378Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 34,+342,2024-10-21T02:32:10.85481Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 34.5,−415,2024-10-21T02:32:11.01081Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 34.5,+314,2024-10-21T02:32:11.13280Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 35,−402,2024-10-21T02:32:11.37878Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 35,+306,2024-10-21T02:32:11.55879Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 35.5,−363,2024-10-21T02:32:11.77078Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Under 35.5,+280,2024-10-21T02:32:11.89778Z,False,ALTERNATE
DraftKings,Football,NFL,2024-10-22,01:00:00,LA Chargers @ ARI Cardinals,Total Alternate,Over 36,−348,2024-10-21T02:32:12.34578Z,False,ALTERNATE
